Number of PRBs in initial UL BWP,"Value of  Hopping BitsNUL,hop",Frequency offset for 2nd hop
NBWPsize<50,0,NBWPsize2
,1,NBWPsize4
NBWPsize≥50,00,NBWPsize2
,01,NBWPsize4
,10,-NBWPsize4
,11,Reserved
