Redundancy version Indexrv,"rvidx for rv-SPS-STTI-UL-Repetitions or rv-SPS-UL-Repetitions ={0,0,0,0,0,0}","rvidx for rv-SPS-STTI-UL-Repetitions or rv-SPS-UL-Repetitions ={0,2,3,1,0,2}","rvidx for rv-SPS-STTI-UL-Repetitions or rv-SPS-UL-Repetitions ={0,3,0,3,0,3}"
0,0,0,0
1,0,2,3
2,0,3,0
3,0,1,3
