Transmission mode,DCI format,Search Space,Transmission scheme of PUSCH corresponding to EPDCCH
Mode 1,DCI format 0 or 0A or 0B or 0C,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
Mode 2,DCI format 0 or 0A or 0B or 0C,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
,DCI format 4 or 4A or 4B,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 8.0.2)
