,,Number of EPDCCH candidates  for Case 3,,,,
,,L=1,L=2,L=4,L=8,L=16
2,2,"2,2","3,3","2,2","1,1","0,0"
4,4,"2,2","2,2","2,2","1,1","1,1"
8,8,"2,2","2,2","2,2","1,1","1,1"
4,2,"3,1","3,2","3,1","1,1","1,0"
8,2,"3,1","4,1","3,1","1,1","1,0"
8,4,"2,2","2,2","2,2","1,1","1,1"
