TDD UL/DL configuration,Number of HARQ processes for normal HARQ operation,Number of HARQ processes for subframe bundling operation
0,9,N/A
1,6,N/A
2,4,2
3,4,2
4,3,N/A
5,2,N/A
6,8,N/A
