Autonomous uplinkTransmission mode,DCI format,Search Space,Transmission scheme of correspondingautonomous PUSCH
Mode 1,DCI format 0A,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
Mode 2,DCI format 4A,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 8.0.2)
