Transmission mode,DCI format,Search Space,Transmission scheme of PUSCH corresponding to SPDCCH
Mode 1,DCI format 7-0A,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
Mode 2,DCI format 7-0B,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 8.0.2)
