= value of resource allocation field or indicated by higher layer parameter prb-AllocationInfo in PUR-Config,Modulation,Set of Allocated subcarriers
0,π/2-BPSK,
1,π/2-BPSK,
2,π/2-BPSK,
3,π/2-BPSK,
4,QPSK,"0,1,2"
5,QPSK,"3,4,5"
6,QPSK,"6,7,8"
7,QPSK,"9,10,11"
8,QPSK,"0,1,2,3,4,5"
9,QPSK,"6,7,8,9,10,11"
