,subframe index n,,,,,,,,,,,
,0,1,,2,3,4,5,6,,7,8,9
,,1st symbol of UpPTS,2nd symbol of UpPTS,,,,,1st symbol of UpPTS,2nd symbol of UpPTS,,,
in case UpPTS length of 2 symbols,,0,1,2,3,4,,5,6,7,8,9
in case UpPTS length of 1 symbol,,1,,2,3,4,,6,,7,8,9
