Transmission mode,DCI format,Search Space,Transmission scheme of PUSCH corresponding to PDCCH
Mode 1,DCI format 0,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
Mode 2,DCI format 0,UE specific by C-RNTI,"Single-antenna port, port 10 (see Clause 8.0.1)"
