,DCI format 6-0A,DCI format 6-1A
HARQ process number,set to '000',Set to all '0's
Redundancy version,set to '00',set to '00'
Repetition number,set to '00',set to '00'
Modulation and coding scheme,set to '1111',set to '1111'
TPC command for scheduled PUSCH,set to '00',N/A
Resource block assignment,Set to all '1's,Set to all '1's
