,,Number of EPDCCH candidates  for Case 3,,,
,,L=1,L=2,L=4,L=8
2,2,"3,3","3,3","1,1","1,1"
4,4,"3,3","3,3","1,1","1,1"
8,8,"3,3","3,3","1,1","1,1"
4,2,"4,2","4,2","1,1","1,1"
8,2,"4,2","4,2","1,1","1,1"
8,4,"3,3","3,3","1,1","1,1"
