TDD UL/DLConfiguration,subframe number n,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
0,9,6,,,,9,6,,,
1,,2,,,3,,2,,,3
2,,3,,0,,,3,,0,
3,1,,,,,,,7,0,1
6,5,5,,,,6,6,,,8
