Search space,,,Number of PDCCH candidates in first slot,Number of PDCCH candidates in second slot
Type,Aggregation level,Size [in CCEs],,
UE-specific,1,6,6,6
,2,12,6,6
,4,8,2,2
,8,16,2,2
