NR Uu configuration,Description
Uu_conf1,"NR Uu: 15 kHz SSB SCS, 20 MHz bandwidth, FDD duplex mode"
Uu_conf2,"NR Uu: 15 kHz SSB SCS, 20 MHz bandwidth, TDD duplex mode"
Uu_conf3,"NR Uu: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,
