Parameter,Unit,Test 1,Test 2
,,Cell 2,Cell 2
Angle of arrival configuration,,Setup 1 according to A.3.15.1,Setup 1 according to A.3.15.1
Assumption for UE beamsNote 10,,Rough,Rough
Note1,dBm/15kHzNote4,-105,N/A
Note1,dBm/SCSNote4,-96,N/A
Es,dBm/SCSNote4,,(Table B.2.3-2 Rx Beam Peak +1 dB)(Note 7)
,dB,11,N/A
SSB_RPNote2,dBm/SCS Note4,-85,(Table B.2.3-2 Rx Beam Peak +1 dB)(Note 7)
"BB Note 2, Note 9",dB,9.97,-3.81
IoNote2,dBm/95.04 MHz Note4,-55.65,(Table B.2.3-2 Rx Beam Peak +30 dB)(Note 8)
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SSB_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 5:VoidNOTE 6:VoidNOTE 7:SSB_RP is applied at 1 dB above the minimum level specified in table B.2.3-2 for beam peak.NOTE 8:Io is applied at 10log10(792)dB+1 dB above the minimum level specified in table B.2.3-2 for beam peak.NOTE 9:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.Note 10:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.",,,
