Configuration,Description
1,"NR Uu: FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
2,"NR Uu: TDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
3,"NR Uu: TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
Note:The UE is only required to pass in one of the supported test configurations in FR1,
