Parameter,,Unit,Value,Comment
RF Channel Number,,-,2,HD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 1,,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",
NR sidelink discovery configuration,,-,As specified in section A.3.21.2,IE values unless specified otherwise in this test.
Number of Active Sidelink UEs,,-,8,"Active Sidelink UE i = 0, .., 7"
"Active Sidelink UEs (UE i = 0, .., 7)",NR sidelink discovery configuration,-,As specified in section A.3.21.2,IE values unless specified otherwise in this test.
,PSCCH Reference Measurement Channel,-,CC.1A HD,As specified in table A.3.21.3-1
,PSSCH Reference Measurement Channel,-,CD.1A HD,As specified in table A.3.21.3-2
,sl-NumSubchannel-r16 included in SL-ResourcePool,-,1,Indicates the number of sub-channels for TX resource pool
,sl-StartRB-Subchannel-r16 included in SL-ResourcePool,-,i,"Indicates the lowest PRB index of the subchannel with the lowest index for active Sidelink UE i = 0, .., 7."
,PSBCH-RSRP,dBm/30kHz,-95,
NOTE 1:The UE is only required to be tested in one of the supported test configurations.,,,,
