Parameter,,Unit,Anchor UE 1,,Anchor UE 2,,,Anchor UE 3,,
,,,T1,T2,T1,T2,,T1,T2,
SL RF Channel number,,,2,,2,,,2,,
SL DRX,,,OFF,,OFF,,,OFF,,
networkControlledSyncTx,,,ON,,ON,,,ON,,
inCoverage (in MIB-SL),,,TRUE,,TRUE,,,TRUE,,
SL resource pool configuration,SL_conf1,,"shared resource pool if supported by UE1, otherwise dedicated",,"shared resource pool if supported by UE1, otherwise dedicated",,,"shared resource pool if supported by UE1, otherwise dedicated",,
,SL_conf2,,,,,,,,,
,SL_conf3,,,,,,,,,
SL-PRS configuration (defined in A.3.21A.2.1),SL_conf1,,N/A,SL PRS.1.3 FR1,N/A,,SL PRS.1.3 FR1,N/A,,SL PRS.1.4 FR1
,SL_conf2,,,SL PRS.1.1 FR1,,,SL PRS.1.1 FR1,,,SL PRS.1.2 FR1
,SL_conf3,,,SL PRS.1.3 FR1,,,SL PRS.1.3 FR1,,,SL PRS.1.4 FR1
SL-PRS resource slot offset,"SL_conf1,2,3",slot,N/A,0,N/A,,1Note 6,N/A,,2Note 6
PSCCH RMC (defined in A.3.21.3),,,CC.1A HD,CC.1A HD,CC.1A HD,,CC.1A HD,CC.1A HD,,CC.1A HD
PSSCH RMC (defined in A.3.21.3),,,CD.1A HD,CD.1A HD,CD.1A HD,,CD.1A HD,CD.1A HD,,CD.1A HD
"Note 2,4",SL_conf1,dBm/SCS,-94,,,,,,,
,"SL_conf2,3",,-91,,,,,,,
"Note 2,5",SL_conf1,dBm/SCS,-98,,,,,,,
,"SL_conf2,3",,-95,,,,,,,
SL-PRS  Note 4,,dB,-Infinity,0,-Infinity,,-3,-Infinity,,-3
PSCCH  Note 5,,dB,N/A,4,N/A,,1,N/A,,1
"Io Note 3,4",SL_conf1,dBm/9.36MHz,N/A,-65.15,N/A,,-65.57,N/A,,-65.57
,SL_conf2,dBm/8.64MHz,,-68.44,,,-68.89,,,-68.89
,SL_conf3,dBm/18.36MHz,,-65.21,,,-65.65,,,-65.65
"SL PRS-RSRP Note 3,4",SL_conf1,dBm/SCS,-Infinity,-94,-Infinity,,-97,-Infinity,,-97
,"SL_conf2,3",,,-91,,,-94,,,-94
"PSCCH RP Note 3,5",SL_conf1,dBm/SCS,-Infinity,-94,-Infinity,,-97,-Infinity,,-97
,"SL_conf2,3",,,-91,,,-94,,,-94
SL-PRS  Note 4EsIot,,dB,N/A,0,N/A,,-3,N/A,,-3
PSCCH  Note 5EsIot,,dB,N/A,4,N/A,,1,N/A,,1
Propagation Condition,,,AWGN,,,,,,,
"NOTE 1:The resources for NR Uu uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2: Interference from other UEs and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3: SL PRS-RSRP, PSCCH Received Power (RP), and Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.NOTE 4: In symbols containing SL-PRS.NOTE 5: In symbols containing PSCCH.NOTE 6:   Applicable only when maxNumOfSlotsWithActiveSL-PRS-Resources is larger than 2. If UE0 reports that maxNumOfSlotsWithActiveSL-PRS-Resources is 1, SL-PRS slot offset for anchor UE2 and anchor UE3 is minTimeAfterEndofSlotCarryActiveSL-PRS-Resources for SCS 15kHz and 2*minTimeAfterEndofSlotCarryActiveSL-PRS-Resources for SCS 30kHz. If UE0 reports that maxNumOfSlotsWithActiveSL-PRS-Resources is 2, SL-PRS slot offset is 1 slot for anchor UE2 and minTimeAfterEndofSlotCarryActiveSL-PRS-Resources for SCS 15kHz and 2*minTimeAfterEndofSlotCarryActiveSL-PRS-Resources for SCS 30kHz for anchor UE3.",,,,,,,,,,
