Configuration,Description
1,"NR Uu: FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
2,"NR Uu: TDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
3,"NR Uu: TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
"NOTE 1:The UE is only required to pass in one of the supported test configurations in FR1.NOTE 2:For NR SL, SL BW is one between 20 MHz and 40 MHz, and SL SCS is 30kHz.",
