NR SL configuration,Description
SL_conf1,"NR SL: 15 kHz SSB SCS, 10 MHz bandwidth, HD duplex mode"
SL_conf2,"NR SL: 30 kHz SSB SCS, 10 MHz bandwidth, HD duplex mode"
SL_conf3,"NR SL: 30 kHz SSB SCS, 20 MHz bandwidth, HD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,
