Parameter,Unit,Value,Comment
SCS,kHz,30,
Active cell,,None,
Active SyncRef UE,,SyncRef UE 1,Transmitting S-SSB on RF channel number 1(HD carrier in Band n47 or n38)
Active V2X UE,,V2X UE,Transmitting S-SSB on RF channel number 1(HD carrier in Band n47 or n38)
V2X sidelink communication preconfiguration,,As specified in table A.3.21.2-2,IE values unless specified otherwise in this test
networkControlledSyncTx,,Not configured,
syncTxThreshOoC,dBm/30kHz,-97,
SL-DRX,,SL-DRX.2,SL-DRX configuration as specified in clause A.3.21.4
T1,s,3,
T2,s,5.24,
T3,s,5.24,
