"""Reception Type""",Physical Channel,AssociatedTransport Channel,Comment
A,PSBCH,SL-BCH,
B,PSSCH,SL-SCH,
C,PSCCH,SL-SCH,
D,PSFCH,N/A,
E,SL PRS,N/A,
