Supported Combinations,,,,,Comment,
PCell,PSCell,,SCell,,,
1. RRC_IDLE,,,,,,
1.1 All UEs,,,,,,
A + (B and/or (C1 or Q) and/or D0) + F0,,,,,Note 1,
1.2 UEs supporting MBS broadcast reception,,,,,,
A+D5,,,,,,
2. RRC_INACTIVE,,,,,,
2.1 All UEs,,,,,,
A + (B and/or (C0 or C1 or Q) and/or (D0 or D7)) + (F0 or F2),,,,,Note 1,
2.2 UEs supporting MBS broadcast reception,,,,,,
A+D5,,,,,,
2.3 UE supporting MBS multicast reception,,,,,,
A+D8,,,,,,
3. RRC_CONNECTED,,,,,,
(A + ((C0 + (B and/or (D0 or (m1*D1+m2*D2+((m3*D3+m4*D4) or m5*(D5 or D6))))) + E + F0 + n*F1 + G + H + J0 + J1 + J2 + K + O + L0 + L1 + M + N + P) or D5)),(A + (D0 or (m1*D1+m2*D2)) + E + F0 + n*F1 + G + H + J0 + J1 + J2 + K + O + N + P),,m1*D1 + m2*D2 + ((m3*D3+m4*D4) or m5*(D5 or D6)) + E + n*F1 + G + H + J0 + J1 + J2 + K + O + L0 + L1 + M + P,,"Note 2, Note 3, Note 4, Note 5, Note 6, Note 7, Note 8, Note 9, Note 10, Note 11, Note 12, Note13, Note 14",
"Note 1:UE is not required to decode more than two PDSCH simultaneously, and decoding prioritization when more than two are received is up to UE implementation.Note 2:For PCell, UE is not required to decode SI-RNTI PDSCH simultaneously with C-RNTI PDSCH, unless in FR1.Note 3:Supported combinations are subject to UE capabilities for dual connectivity, carrier aggregation, receiving of group TPC commands, pre-emption indication and dynamic SFI monitoring.Note 4:The values of m2 ≥ 0 and n≥ 0 in the supported combinations are subject to the UE capability. Note 5:Support of monitoring PDCCH with SL-RNTI, SL-CS-RNTI, SL Semi-Persistent Scheduling V-RNTI are subject to UE capability. Note 6:The values of m1 ≥ 1 in the supported combinations are subject to the UE capability. Note 7:In Active time, a UE is not expected to monitor the DCI format for the PDCCH scrambled by PS-RNTI.Note 8:The PDCCH scrambled by PS-RNTI can only be configured on the PCell and PSCell.Note 9:For a UE supporting MBS multicast reception, the values of 1 ≥ m3 ≥ 0 and m4 ≥ 0 are subject to UE capability and applicable to RRC connected UEs. If m3 = 1, then m1 ≤ 1.Note 10:For a UE supporting MBS multicast or broadcast reception, the UE is not expected to be configured simultaneously with more than one component carrier for multicast or broadcast reception.Note 11:For a UE supporting MBS broadcast reception, the values of 1≥m5 ≥ 0 are subject to UE capability and applicable to RRC connected UEs. If m5=1, then m1≤1.Note 12:For a UE supporting MBS broadcast reception in RRC_CONNECTED state, it is required to support reception of FDMed MCCH PDSCH and PBCH in Pcell.Note 13:For a UE supporting MBS multicast or broadcast reception in RRC_CONNECTED state, it is not required to support reception of FDMed MCCH PDSCH/broadcast MTCH PDSCH/multicast MTCH PDSCH and SIB PDSCH in PCell.Note 14:For a UE supporting MBS multicast or broadcast reception in RRC_CONNECTED state, it is not required to support reception of FDMed broadcast MTCH PDSCH/multicast MTCH PDSCH and PBCH in PCell.",,,,,,
