Sidelink CA configuration / Bandwidth combination set,,,,,,,
Sidelink CA configuration,Sidelink CA configuration for TX,Component carriers in order of increasing carrier frequency,,,,Maximum aggregated bandwidth [MHz],Bandwidth combination set
,,Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],,
SLCA_n47B,SLCA_n47B,10,"10, 20,30",,,70,0
,,[20],"[20,30]",,,,
,,30,"30,40",,,,
