Sidelink CA configuration / Bandwidth combination set,,,,,,,
Sidelink CA configuration,Sidelink CA configuration for TX,Component carriers in order of increasing carrier frequency,,,,Maximum aggregated bandwidth [MHz],Bandwidth combination set
,,Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],,
SLCA_n47(2A),SLCA_n47(2A),10,"10,20",,,30,0
