NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n3A-n7A-n67A,DC_n1A-n3ADC_n1A-n7ADC_n3A-n7A
DC_n1A-n3A-n7A-n78A,DC_n1A-n3ADC_n1A-n7ADC_n1A-n78ADC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n1A-n3A-n7A-n78(2A),DC_n1A-n3ADC_n1A-n7ADC_n1A-n78ADC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n1A-n3A-n20A-n67A,DC_n1A-n3ADC_n1A-n20ADC_n3A-n20A
DC_n1A-n3A-n28A-n41A,DC_n1A-n3ADC_n1A-n28ADC_n1A-n41ADC_n3A-n28ADC_n3A-n41ADC_n28A-n41A
DC_n1A-n3A-n28A-n77A,DC_n1A-n3ADC_n1A-n28ADC_n1A-n77ADC_n3A-n28ADC_n3A-n77ADC_n28A-n77A
DC_n1A-n3A-n28A-n79A,DC_n1A-n3ADC_n1A-n28ADC_n1A-n79ADC_n3A-n28ADC_n3A-n79ADC_n28A-n79A
DC_n1A-n3A-n41A-n77A,DC_n1A-n3ADC_n1A-n41ADC_n1A-n77ADC_n3A-n41ADC_n3A-n77ADC_n41A-n77A
DC_n1A-n3A-n41A-n79A,DC_n1A-n3ADC_n1A-n41ADC_n1A-n79ADC_n3A-n41ADC_n3A-n79ADC_n41A-n79A
DC_n1A-n3A-n67A-n78A,DC_n1A-n3ADC_n1A-n78ADC_n3A-n78A
DC_n1A-n3A-n67A-n78(2A),DC_n1A-n3ADC_n1A-n78ADC_n3A-n78A
DC_n1A-n3A-n77A-n79A,DC_n1A-n3ADC_n1A-n77ADC_n1A-n79ADC_n3A-n77ADC_n3A-n79ADC_n77A-n79A
DC_n1A-n7A-n28A-n78A,DC_n1A-n7ADC_n1A-n28ADC_n1A-n78ADC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n1A-n7A-n28A-n78(2A),DC_n1A-n7ADC_n1A-n28ADC_n1A-n78ADC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n1A-n7A-n67A-n78A,DC_n1A-n7ADC_n1A-n78ADC_n7A-n78A
DC_n1A-n7A-n67A-n78(2A),DC_n1A-n7ADC_n1A-n78ADC_n7A-n78A
DC_n1A-n28A-n41A-n77A,DC_n1A-n28ADC_n1A-n41ADC_n1A-n77ADC_n28A-n41ADC_n28A-n77ADC_n41A-n77A
DC_n1A-n28A-n41A-n79A,DC_n1A-n28ADC_n1A-n41ADC_n1A-n79ADC_n28A-n41ADC_n28A-n79ADC_n41A-n79A
DC_n1A-n28A-n77A-n79A,DC_n1A-n28ADC_n1A-n77ADC_n1A-n79ADC_n28A-n77ADC_n28A-n79ADC_n77A-n79A
DC_n1A-n41A-n77A-n79A,DC_n1A-n41ADC_n1A-n77ADC_n1A-n79ADC_n41A-n77ADC_n41A-n79ADC_n77A-n79A
DC_n3A-n7A-n20A-n67A,DC_n3A-n7ADC_n3A-n20ADC_n7A-n20A
DC_n3A-n7A-n20A-n78A,DC_n3A-n7ADC_n3A-n20ADC_n3A-n78ADC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n3A-n7A-n20A-n78(2A),DC_n3A-n7ADC_n3A-n20ADC_n3A-n78ADC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n3A-n7A-n28A-n78A,DC_n3A-n7ADC_n3A-n28ADC_n3A-n78ADC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n3A-n7A-n28A-n78(2A),DC_n3A-n7ADC_n3A-n28ADC_n3A-n78ADC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n3A-n7A-n67A-n78A,DC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n3A-n7A-n67A-n78(2A),DC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n3A-n20A-n67A-n78A,DC_n3A-n20ADC_n3A-n78ADC_n20A-n78A
DC_n3A-n20A-n67A-n78(2A),DC_n3A-n20ADC_n3A-n78ADC_n20A-n78A
DC_n3A-n28A-n41A-n77A,DC_n3A-n28ADC_n3A-n41ADC_n3A-n77ADC_n28A-n41ADC_n28A-n77ADC_n41A-n77A
DC_n3A-n28A-n41A-n79A,DC_n3A-n28ADC_n3A-n41ADC_n3A-n79ADC_n28A-n41ADC_n28A-n79ADC_n41A-n79A
DC_n3A-n28A-n77A-n79A,DC_n3A-n28ADC_n3A-n77ADC_n3A-n79ADC_n28A-n77ADC_n28A-n79ADC_n77A-n79A
DC_n3A-n28A-n77(2A)-n79A,DC_n3A-n28ADC_n3A-n77ADC_n3A-n79ADC_n28A-n77ADC_n28A-n79ADC_n77A-n79A
DC_n3A-n41A-n77A-n79A,DC_n3A-n41ADC_n3A-n77ADC_n3A-n79ADC_n41A-n77ADC_n41A-n79ADC_n77A-n79A
DC_n7A-n20A-n67A-n78A,DC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n7A-n20A-n67A-n78(2A),DC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n28A-n41A-n77A-n79A,DC_n28A-n41ADC_n28A-n77ADC_n28A-n79ADC_n41A-n77ADC_n41A-n79ADC_n77A-n79A
