Inter-band Power class(NOTE 1),Uplink bands of same power class,,Uplink bands of different power class,
,E-UTRA band2,NR band,E-UTRA band2,NR band
Class 3,Class 3,Class 3,,
Class 2,Class 3,Class 3,Class 3,Class 2
,Class 2,Class 2,Class 2,Class 3
Class 1.5,Class 2,Class 2,Class 3,Class 1.5
,,,Class 2,Class 1.5
"NOTE 1:Indicated by powerClass/powerClass-v1610.NOTE 2:For the FDD E-UTRA band, only Class 3 is applicable.",,,,
