E-UTRA or NR Band / SCS / Channel bandwidth of the affected DL band / UL RB allocation of the agressor band,,,,,,,,,,,,,
UL band,DL band,SCS of UL band(kHz),5 MHz(LCRB),10 MHz(LCRB),15 MHz(LCRB),20 MHz(LCRB),25 MHz(LCRB),40 MHz(LCRB),50 MHz(LCRB),60 MHz(LCRB),80 MHz(LCRB),90 MHz(LCRB),100 MHz(LCRB)
n46,2,15,25,50,75,100,,,,,,,
n46,48,15,12,25,36,50,,,,,,,
