"EN-DC Aggregated Bandwidth, MHz",≤100,">100, ≤120",">120, ≤140",">140, ≤160"
"Pw in Transmission Bandwidth Configuration, perCC, dBm",REFSENS + Aggregated BW specific value below,,,
,16,,,
"PUW, dBm (CW)",-55,,,
"NOTE 1:Jammer offset is from Table 7.6.3.1A-1 [4] and is applied from the lowest edge of the lowest carrier and the highest edge of the highest carrierNOTE 2:Void.NOTE 3:Void.NOTE 4:If NR carrier BW > 40 MHz, no narrow band blocking requirements apply when blocker is applied at the edge of the NR carrier.",,,,
