"EN-DC Aggregated Bandwidth, MHz",≤100,">100, ≤120",">120, ≤140",">140, ≤160"
"Pw in Transmission Bandwidth Configuration, perCC, dBm",REFSENS + Aggregated BW specific value below,,,
,9,,,
NOTE 1:Interferer values and offsets are specified from Table 7.6.2.1A-2 in TS 36.101 [4]NOTE 2:Void.NOTE 3:Void.,,,,
