NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,
EN-DC Configuration,EUTRA/NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order
DC_66A-(n)71AA,66,1750,5,25,2150,5,IMD4
,n71,678,10,10 (RBstart =0),632,N/A,N/A
"NOTE 1: VoidNOTE 2:E-UTRA carrier shall be set to min(+20 dBm, PCMAX_L_E-UTRA,c) and NR carrier shall be set to min(+20 dBm, PCMAX_L,f,c,NR) as defined in clause 6.2B.4.1.3.",,,,,,,
