DC configuration,Requirement (clause),E-UTRA network signalling value,NR network signalling value,A-MPR(clause)
DC_(n)71AA,6.5B.2.1.2.1,NS_35,NS_35,6.2B.3.1.13
DC_(n)41AA1,6.5B.2.1.2.26.5B.4.1.1,NS_01 or NS_04,NS_04,6.2B.3.1.24
NOTE 1:Only applies to UEs that support dual UL transmission for this EN-DC combination.NOTE 2:The additional emission requirement is indicated when the combination of network signalling values in the two CGs is set (only for UEs configured with EN-DC).NOTE 3:The A-MPR is applied as MPR if NS_35 is not signalled.NOTE 4:Void,,,,
