"Power in Largest CC, E-UTRA or NR, dBm",X1
"Power in each other CC, dBm",X1 – 10*log10(NxSCSx/NySCSy)
"NOTE 1:Power in Largest E-UTRA or NR bandwidth CC, listed in Table 7.4-1 [2]NOTE 2:Nx, SCSx is the number of RB's and Sub carrier spacing in the largest carrier bandwidth and could be E-UTRA or NR carrierNOTE 3:Ny, SCSy is the number of RB's in any other carrier.NOTE 4:Void.NOTE 5:Void.",
