"EN-DC Aggregated Bandwidth, MHz",≤100,">100, ≤120",">120, ≤140",">140, ≤160"
"Pw in Transmission Bandwidth Configuration, perCC, dBm",,REFSENS + Aggregated BW specific value below,,
,PW 1,16.8,17.5,18
NOTE 1:PW is wanted signal power level at the specified EN-DC aggregated Bandwidth from Table 7.6.1.1A-1 in TS 36.101 [4]NOTE 2:Interferer values are specified from Table 7.6.1.1A-2 in TS 36.101 [4]NOTE 3:Jammer BW and offset is from Table 7.6.1.1A-1 [4] and is applied from the lowest edge of the lowest carrier and the highest edge of the highest carrierNOTE 4:Void.NOTE 5:Void.,,,,
