DC configuration,Requirement (clause),E-UTRA network signalling value,NR network signalling value,A-MPR (clause),
DC_41A_n41A1,6.6.3.3.19 and 6.6.2.2.2 of TS 36.101 [4] and 6.5.2.3.2 and 6.5.3.3.1 of TS 38.101-1 [2],NS_01 or NS_04,NS_04,6.2B.3.2.1,
NOTE 1:Only applies to UEs that support dual UL transmission for this EN-DC combination.NOTE 2:The requirement applies when the combination of network signalling values in the two CGs is set (only for UEs configured with EN-DC).,,,,,
