UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
34,n28,2017.5,15,15,75 (RBSTART=0),785.5,5,3.4,>ACLR2
39,n28,1890,20,15,100 (RBSTART=0),785.5,5,3.4,>ACLR2
NOTE 1:Void.NOTE 2:Void.,,,,,,,,,
