Frequency range(MHz),Spectrum emission limit (dBm) for aggregated channel bandwidth ofmax 40 MHz,Measurement bandwidth
9 kHz – 3530 MHz,-40,1 MHz
3530 MHz – 3540 MHz,-25,
3710 MHz – 3720 MHz,-25,
3720 MHz – 12.75 GHz,-40,
