RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,,
,20MHz(Full/Partial),40MHz(Full/Partial),60MHz(Full/Partial),80MHz(Full/Partial)
Contiguous/Non-contiguous sub-band RB sets,≤ 11.0,≤12.5,≤13.5,≤15.5
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.NOTE 2:Larger CBW than 80MHz are not applicable for this network signalling.,,,,
