Carrier frequency [MHz],RB allocations,A-MPRBase  (dB),,,,A-MPRstep (dB)
,,QPSK,16QAM,64QAM,256QAM,
"5870, 5880, 5890, 5900, 5910",Inner,≤ 3.0,,≤ 5.0,≤ 6.0,0.5
,Outer,≤ 4.5,,,,
NOTE 1:Inner and Outer RB allocations are defined in clause 6.2E.2.2NOTE 2:Applicable for Channel Bandwidth = 10 MHz,,,,,,
