ULFPTx Mode,Transmission scheme,DCI format,Modulation,Number of layers,Number of Tx Port,TPMI index
Mode-1,Codebook based uplink,DCI format 0_1,"DFT-s-OFDM, CP-OFDM NOTE3",1,2 NOTE1,2
,,,,,4 NOTE4,13
,,,CP-OFDM NOTE3,2,4,6
Mode-2,Codebook based uplink,DCI format 0_1,"DFT-s-OFDM, CP-OFDM",1,2 NOTE1,0 or 1NOTE2
,,,,,4 NOTE4,"4, 5, 6 ,7 or 4, 5, 6 ,7, 8, 9, 10, 11NOTE2"
,,,CP-OFDM,2,4,"1 or 0, 1, 2, 3, 4 ,5NOTE2"
Mode-full power,Codebook based uplink,DCI format 0_1,"DFT-s-OFDM, CP-OFDM",1,2 NOTE1,"0,1"
,,,,1,"3 NOTE4,5","0,1,2"
"NOTE 1:The UE is configured with one SRS resource with the parameter nrofSRS-Ports set to 2.NOTE 2:TPMI index selected shall be based upon the full power TPMI reported by the UE [8, TS 38.213].NOTE 3:For PUSCH configured with ul-FullPowerTransmission set to fullpowerMode1, all the transmitter requirement for CP-OFDM based modulation does not need to be verified if the requirements for 2-layer or 4-layer UL MIMO according to Table 6.2D.1-2 has been verified.NOTE 4:The UE is configured with one SRS resource with the parameter nrofSRS-Ports set to 4.NOTE 5:The parameter fourPortSRS-3Tx-r19 is configured for a SRS resource set.",,,,,,
