Modulation/Waveform,,A4,A5,A6,A7,A8,A9,A10,A11
,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,PI/2 BPSK,6.5,2.5,3.5,7,11,6.5,3.0,5.0
,QPSK,6.5,2.5,3.5,7,11,6.5,3.0,5.0
,16 QAM,6.5,2.5,3.5,7,11,6.5,3.5,5.0
,64 QAM,6.5,2.5,3.5,7,11,6.5,3.5,5.0
,256 QAM,6.5,,,7,11,6.5,,5.0
CP-OFDM,QPSK,6.5,3.5,5.5,8,12,8,4.5,6.5
,16 QAM,6.5,3.5,5.5,8,12,8,4.5,6.5
,64 QAM,6.5,3.5,5.5,8,12,8,4.5,6.5
,256 QAM,6.5,,,8,12,8,,
