"Channel Bandwidth, MHz",Regions,,A-MPR
,RBstart*12*SCSMHz,LCRB*12*SCSMHz,
10 MHz,≤ 2.16,≥ 1,A1
15 MHz,≤ 4.5,≥ 1,A2
