concurrent operating band configuration,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
V2X_n1A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n3A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n8A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n34A-n47A,"E-UTRA Band 1, 3, 7, 8, 22, 26, 28, 39, 40, 41, 42, 44, 45, 65, 72",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,1
,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n34A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n40A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n41A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n71A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
V2X_n78A-n47A,Frequency range,5925,-,5945,-30,1,3
,Frequency range,5835,-,5855,-30,1,3
NOTE 1: Void.NOTE 2:Void.NOTE 3:Applicable when NS_33 is configured by the pre-configured radio parameters for power class 3 V2X UE.NOTE 4:Void.,,,,,,,
