Network signalling label,Requirements (clause),NR CA Band,Aggregated channel bandwidth (MHz),Resources blocks (NRB),A-MPR (dB)
CA_NS_53,6.5F.3A.3.16.2F.1A.2.1,CA_n96,"40, 60, 80, 100, 120, 140, 160",,6.2F.3A.2.2
CA_NS_54,6.5F.3A.3.16.2F.1A.2.2,CA_n96,"40, 60, 80, 100, 120, 140, 160",,6.2F.3A.2.3
NOTE 1:The A-MPR shall apply to all active 20 MHz sub-bands contiguously allocated in the channel.,,,,,
