Reported transient capability (us),EVM definition,tpstart (µs),SCS4
2,"EVMafter=max⁡(EVMl_tp,EVMh)EVMbefore=max⁡(EVMl,EVMh_tp)",-0.5,15kHz or 30kHz5
4,"EVMafter=max⁡(EVMl_tp,EVMh)EVMbefore=max⁡(EVMl,EVMh_tp)",-1,15kHz
7,"EVMafter=min⁡(EVMl_tp,EVMh)EVMbefore=max⁡(EVMl,EVMh_tp)",-2.7,15kHz
"NOTE 1: ,,and  are defined in Annex FNOTE 2: is the EVM for a symbol right after a transition;  is the EVM for a symbol right before a transitionNOTE 3:tpstart denotes the start position of the EVM exclusion window as shown in Annex F.4NOTE 4:SCS denotes the SCS that can be used in the conformance testNOTE 5:30kHz shall be used in the conformance test unless the UE signals in supportedSubCarrierSpacingUL in FeatureSetPerCC that it only supports 15kHz in the corresponding bandEVMl EVMh EVMl_tp,EVMh_tpEVMafterEVMbefore",,,
