Frequency range(MHz),Channel bandwidth (MHz) /Spectrum emission limit(dBm),Measurement bandwidth
,"5, 10, 15, 20, 30, 40, 50, 60 MHz",
1518 ≤ f ≤ 1520,-0.8,1 MHz
1520 < f ≤ 1559,-30,1 MHz
