Pre-coding,Modulation,RB Allocation (Note 3),,,,RB Allocation (Note 4)
,,Outer RB set configuration5,,Inner RB set configuration5,,
,,Full (dB),Partial (dB),Full (dB),Partial (dB),Full/Partial
CP-OFDM,QPSK,≤ 4.5,≤ 6.0,≤ 4.5,≤ 2.0,Table 6.2E.2F-1
,16 QAM,≤ 4.5,≤ 6.0,≤ 4.5,≤ 3.0,
,64 QAM,≤ 5.5,≤ 6.0,≤ 5.5,≤ 5.5,
,256 QAM,≤ 7.5,≤ 7.5,≤ 7.5,≤ 7.5,
"NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously allocated in the channel.NOTE 2:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated or when not all transmitted sub-bands for wideband operation are transmitted.NOTE 3:Applicable for 40 MHz channels centered at the nearest NR-ARFCN corresponding to 5965 MHz, 60 MHz channels centered at the nearest NR-ARFCN corresponding to 5975 MHz, and 80 MHz channels centered at the nearest NR-ARFCN corresponding to 5985 MHz.NOTE 4:Applicable for all valid channels other than those enumerated under NOTE 3.NOTE 5: Contiguous outer sub-band configuration and contiguous inner sub-band configuration in Table 6.2E.2F-3 apply.NOTE 6:In current release larger CBW than 80MHz are not applicable for this network signalling.",,,,,,
