NR V2X concurrent operating band Configuration,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
V2X_n79B,,,26,+2/-32,23,+2/-32,,
NOTE 1:Void.NOTE 2:PPowerClass is the maximum UE power specified without taking into account the tolerance NOTE 3:For intra-band concurrent aggregation the maximum power requirement apply to the total transmitted power over all component carriers (per UE).NOTE 4:Power Class 3 is the default power class unless otherwise stated.,,,,,,,,
