Modulation/Waveform,A1,A2,A3,A4,A5
,Outer/Inner,Outer/Inner,,,
DFT-s-OFDM PI/2 BPSK,≤ 5,≤ 4,≤ 3.5,≤ 4.5,≤ 4
DFT-s-OFDM QPSK,≤ 5,≤ 4.5,≤ 4,≤ 4.5,≤ 4
DFT-s-OFDM 16 QAM,≤ 5.5,≤ 4.5,≤ 4,≤ 5,≤ 4.5
DFT-s-OFDM 64 QAM,≤ 5.5,≤ 5,≤ 4.5,≤ 5,≤ 5
DFT-s-OFDM 256 QAM,≤ 9.5,≤ 5,≤ 5,≤ 5.5,≤ 5.5
CP-OFDM QPSK,≤ 7,≤ 6,≤ 5.5,≤ 6.5,≤ 6.5
CP-OFDM 16 QAM,≤ 7,≤ 6,≤ 5.5,≤ 6.5,≤ 6.5
CP-OFDM 64 QAM,≤ 7,≤ 6,≤ 6,≤ 7,≤ 6.5
CP-OFDM 256 QAM,≤ 9.5,,,≤ 7,≤ 6.5
