Channel bandwidth(MHz),Minimum output power(dBm),Measurement bandwidth(MHz)
51,-30,4.515
10,-30,9.375
20,-30,19.095
30,-28.2,28.815
40,-27,38.895
Note 1:The CBW is only applicable to PS UE in n14.,,
