NR band,Value of additionalSpectrumEmission,,,,,,,
,0,1,2,3,4,5,6,7
n3,NS_UAV_01,NS_UAV_70,,,,,,Reserved
n7,NS_UAV_01,NS_UAV_46,,,,,,Reserved
n38,NS_UAV_01,NS_UAV_44,,,,,,Reserved
