Spectrum emission limit (dBm EIRP)/ Channel bandwidth,,
ΔfOOB(MHz),10 MHz,Measurement bandwidth
0-0.5,[]-13-12∆fOOBMHz,100 kHz
0.5-5,[]-19-169∆fOOBMHz-0.5,100 kHz
5-10,[]-27-2∆fOOBMHz-5.0,100 kHz
