Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
E-UTRA band 34 –NR band n34,FDL_low,-,FDL_high,-50,1,
Frequency range,1900,-,1915,-15.5,5,1
Frequency range,1915,-,1920,+1.6,5,1
"NOTE 1:For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.",,,,,,
