ΔfOOB MHz,Channel bandwidth (MHz) / Spectrum emission limit (dBm),,Measurement bandwidth
,5,"10, 15, 20, 25, 30, 35, 40, 45",
0-1,-13,-13,1 % of channel BW
1-6,-13,,1 MHz
6-10,-25,,
1-BWChannel,,-13,
BWChannel-(BWChannel+5),,-25,
