Modulation,,MPR (dB),,
,,Edge RB allocations,Outer RB allocations,Inner RB allocations
DFT-s-OFDM,Pi/2 BPSK w/ Rel-15 DMRS,≤ 3.51,≤ 0.71,≤ 0.21
,,≤ 0.52,02,"02,4"
,Pi/2 BPSK w Pi/2 BPSK DMRS,≤ 0.52,02,"02,4"
,QPSK,≤ 1,≤ 0.8,05
,16 QAM,≤ 2,≤ 1.5,≤ 1
,64 QAM,≤ 2.5,,
,256 QAM,≤ 4.5,,
CP-OFDM,QPSK,≤ 3,≤ 2.5,≤ 1.5
,16 QAM,≤ 3,≤ 2.5,≤ 2
,64 QAM,≤ 3.5,,
,256 QAM,≤ 6.5,,
"NOTE 1:Applicable for UE operating in TDD mode with Pi/2 BPSK modulation and UE indicates support for UE capability powerBoosting-pi2BPSK and if the IE powerBoostPi2BPSK is set to 1 and 40 % or less slots in radio frame are used for UL transmission for band n104. The reference power of 0 dB MPR is 26 dBm.NOTE 2:Applicable for conditions where note 1 does not apply. NOTE 3:ACLR requirement is according to Table 6.5.2.4.1-3.NOTE 4:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostPi2BPSK-r18 is set to 1, the reference power is increased by ΔPPowerBoostNOTE 5:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostQPSK-r18 is set to 1, the reference power is increased by ΔPPowerBoost",,,,
