RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,,,,,
,20MHz,,40MHz,,60MHz,,80MHz,,100MHz,
# of S-SSB repetition/RBset,> 2,2,> 2,2,> 2,2,> 2,2,> 2,2
Contiguous/Non-contiguous,≤ 18.5,≤ 21.5,≤18.0,≤21.5,≤16.0,≤18.5,≤16.0,≤18.5,≤16.0,≤18.5
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.,,,,,,,,,,
