Frequency range(MHz),Channel bandwidth (MHz) / Spectrum emission limit (dBm),Measurement bandwidth
,"5, 10, 15",
860 ≤ f ≤ 890,-40,1 MHz
NOTE 1:   Applicable for 5 MHz and 15 MHz channel BW confined between 900 MHz and 915 MHz and for 10 MHz channel BW confined between 905 MHz and 915 MHz,,
