"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
15 MHz,Fc > 2552.5,≥ 9.72,≥ (NRB-RBend)*(12*SCS)+3.6,A1
,,≥ 11.16,≤ 3.6,A2
20 MHz,Fc > 2547.5,≥ 12.6,"≥ (NRB-RBend)*(12*SCS)+1.8, >5.7",A7
,,≥ 14.4,≤ 5.7,A2
25 MHz,Fc > 2547.5,≥ 14.4,"≥ (NRB-RBend)*(12*SCS) +4.5, >6.7",A5
,,≥ 17.64,≤ 6.7,A2
,2535.5 < Fc ≤ 2547.5,≥ 16.2,≥ 16.2,A1
,,≥ 20.5,≤ 5.6,A2
30 MHz,2523 < Fc ≤ 2545,≥ 22.5,≥ 16.2,A3
,,≥ 23.4,≤ 7.2,A2
,Fc > 2545,≥ 17.64,"≥ (NRB-RBend)*(12*SCS), >7.2",A5
,,≥ 21.6,≤ 7.2,A6
,,≤ 9.6,≥ 1.1*12*SCS*RBend - 1.5,A4
35 MHz,Fc ≤ 2532.5,≥ 28,≤ 7.2,A2
,,,≥ 19.8,A7
,2532.5 < Fc ≤ 2542.5,≥ 21.6,≥ 16.2,A3
,,≥ 24.5,≤ 7.2,A2
,Fc > 2542.5,≤ 18.4,≥ 1.15*12*SCS*RBend –3.6,A4
,,≥ 18,"≥ 9, ≥ (NRB-RBend)*(12*SCS)",A8
,,≥ 23,< 9,A6
40 MHz,Fc > 2540,≤ 21.24,≥ 1.15*12*SCS*RBend - 6,A4
,,"> 21.24, < 34",≥ (NRB-RBend)*(12*SCS)+3.6,A8
,,≥ 34,> 7.2,A6
,,≥ 27,"> 2.16, ≤ 7.2",A8
,,≥ 27,≤ 2.16,A6
,2530 < Fc ≤ 2540,≤ 10.8,≥ 1.2*12*SCS*RBend – 2.34,A4
,,≥ 29,≤ 7.2,A6
,,≥ 21.6,≥ 16.2,A5
,Fc ≤ 2530,≥ 30,≤ 7.2,A2
,,,≥ 19.8,A7
50 MHz,Fc > 2535,≤ 19,≥ 1.17*12*SCS*RBend – 10,A4
,,"> 19, ≤ 29.5",≥ 18.0,A5
,,> 29.5,> 12.8,A6
,,> 39.6,"> 7.2, ≤ 12.8",A5
,,≥ 33,"> 2.16, ≤ 7.2",A8
,,≥ 33,≤ 2.16,A6
,2525 < Fc ≤ 2535,≤ 14,≥ 1.17*12*SCS*RBend – 6,A4
,,"> 14, ≤ 26",≥ 1.17*12*SCS*RBend – 6,A8
,,≥ 34,> 22.5,A8
,,≥ 43,"> 7.2, ≤ 22.5",A5
,,≥ 35,"> 2.16, ≤ 7.2",A8
,,≥ 35,≤ 2.16,A6
,Fc = 2525,≥ 30,≥ 19.8,A5
,,≤ 9,≥ 1.14*12*SCS*RBend – 2,A4
,,≥ 37.4,"> 2.16, ≤ 7.6",A8
,,≥ 37.4,≤ 2.16,A6
