Modulation/Waveform,,A1 (dB),A2 (dB),A3 (dB),A4 (dB),A5 (dB)
,,Outer/Inner,Outer/Inner,Outer /Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,Pi/2 BPSK,≤ 3.5,≤ 2,≤ 3,≤ 2,≤ 3.0
,QPSK,≤ 4,≤ 3,≤ 3.5,≤ 3,≤ 3.5
,16 QAM,≤ 5,≤ 3,≤ 4,≤ 3,≤ 4.0
,64 QAM,≤ 5,≤ 3.5,≤ 4,≤ 3,≤ 4.0
,256 QAM,≤ 5,≤ 4.5,≤ 4.5,≤ 4.5,≤ 5.0
CP-OFDM,QPSK,≤ 6,≤ 4.5,≤ 5.5,≤ 4.5,≤ 5.0
,16 QAM,≤ 6,≤ 4.5,≤ 5.5,≤ 4.5,≤ 5.0
,64 QAM,≤ 6,≤ 4.5,≤ 5.5,≤ 4.5,≤ 5.0
,256 QAM,≤ 7,≤ 6.5,≤ 6.5,≤ 6.5,≤ 6.5
