Modulation/Waveform,,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,PI/2 BPSK,8,4,13,10,4.5,4.5,12.5,10.5,5,5
,QPSK,8,4.5,13,10,5.5,5.5,12.5,10.5,6,6
,16 QAM,8.5,4.5,13,10.5,7,6.5,12.5,11,7.5,7
,64 QAM,8.5,4.5,13,10.5,7.5,7,12.5,11,7.5,7.5
,256 QAM,8.5,5,13,10.5,8,7.5,12.5,11,7.5,7.5
CP-OFDM,QPSK,9,5,13.5,12,7,5.5,13.5,12,7.5,6
,16 QAM,9,5,13.5,12,7,5.5,13.5,12,7.5,6
,64 QAM,9,5,13.5,12,7,5.5,13.5,12,7.5,6
,256 QAM,9,6.5,13.5,12,8,6,13.5,12,7.5,6
