NR Band,Power class,Channel bandwidth,∆MPR (dB)
n28 and n83,"Power class 3,Power class 2",30 MHz40MHz,0.5
n40 and n97,"Power class 3,Power class 2",100 MHz,1
n71,"Power class 3,Power class 2",25 MHz30 MHz35 MHz,0.5
