NRband,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
n46,,,,,,,20,+2/-3
n96,,,,,,,20,+2/-3
n102,,,,,,,20,+2/-3
NOTE 1:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 2:Power class 5 is default power class unless otherwise stated,,,,,,,,
