NR CA band,Value of additionalSpectrumEmission,,,,,,,
,0,1,2,3,4,5,6,7
CA_n96,CA_NS_01,CA_NS_53,CA_NS_54,,,,,
NOTE:additionalSpectrumEmission corresponds to an information element of the same name defined in clause 6.3.2 of TS 38.331 [7].,,,,,,,,
